text,category
"Повторная отправка Рецензия Гаршиной.doc Добрый вечер! 
Отсылаю материалы рецензии на работу курсанта. Если чтото посчитаешь нужным изменить, то я буду только ""За"". Заранее благодарен. 
До свидания.",рецензирование
Re: Шаблон рецензии (новый)  Спасибо.Нечаев.,другое
"RE: статья Вестник САИТ Рецензия Рецензия Толстоброва на статью А.С. Платонова.docx Добрый день! 
Посылаю рецензию 
С уважением, 
Толстобров Александр Павлович 
______________________________ 
mailto: tap@vsu.ru 
тел.: +7(473)2555646 
моб.тел.: +79803424150 
Skype: tapvsu 
Original Message 
From: Vestnik VSU [mailto:csit@cs.vsu.ru]  
Sent: Friday, February 9, 2018 5:36 PM 
To: tap@rcnit.vsu.ru 
Subject: статья Вестник САИТ 
Уважаемый Александр Павлович! 
Просьба отрецензировать статью  ОПТИМИЗАЦИЯ СТРУКТУРЫ БАЗЫ ДАННЫХ ИНФОРМАЦИОННОЙ СИСТЕМЫ КОНТРОЛЯ ОБРАЗОВАТЕЛЬНЫХ ДОСТИЖЕНИЙ УЧАЩИХСЯ А.С. Платонова Прикрепляю также, новый вариант шаблона рецензии. 
Гаршина В.В. 
",рецензирование
"RE: статья для рецензирования рецензия_на_Проблема защита_пользователей.docx Доброе время суток, Вероника Викторовна! 
Высылаю рецензию, во вложении. 
До связи. 
Original Message 
From: Vestnik VSU [mailto:csit@cs.vsu.ru]  
Sent: Friday, February 09, 2018 5:54 PM 
To: Вялых Сергей Ариевич 
Subject: статья для рецензирования 
Сергей Ариевич, добрый день! 
Прислали статью в журнал ПРОБЛЕМА ЗАЩИТЫ ПОЛЬЗОВАТЕЛЕЙ В КИБЕРПРОСТРАНСТВЕ СОВРЕМЕННЫЙ ПОДХОД К.С. Савина,  А.В. Поначугин Прошу отрецензировать. 
P/S Статья мне кажется слабой (не научной), студенческой, не соотв уровню журнала. 
Прикрепляю новый шаблон рецензии. 
С уважением, Гаршина В.В. 
",рецензирование
"RE: рецензия на статью Рецензия Толстоброва на статью Черненькая-Магер.docx Добрый день! 
Посылаю рецензию 
С уважением, 
Толстобров Александр Павлович 
______________________________ 
mailto: tap@vsu.ru 
тел.: +7(473)2555646 
моб.тел.: +79803424150 
Skype: tapvsu 
Original Message 
From: Vestnik VSU [mailto:csit@cs.vsu.ru]  
Sent: Sunday, February 11, 2018 10:37 PM 
To: tap@vsu.ru 
Subject: рецензия на статью 
Уважаемый Александр Павлович! 
Прошу отрецензировать статью  СИСТЕМА ОНЛАЙН ОБЕСПЕЧЕНИЯ КАЧЕСТВА ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ Л.В. Черненькая, В.Е. Магер СанктПетербургский политехнический университет Петра Великого  Гаршина В.В. 
",рецензирование
Re: сверка статьи  ,проверка статьи
"Re: сверка статьи  СПАСИБО!!!!!!!!!! 
15.02.2018, 14:50, ""Vestnik VSU"" <csit@cs.vsu.ru: 
Привет! 
Я отправила авторам статью для сверки. На всякий случай прикрепляю тебе 
",проверка статьи
"Re: сверка статьи  Спасибо! 
В.Е. 
15 февраля 2018 г., 22:11 пользователь Vestnik VSU <csit@cs.vsu.ru 
написал: 
Исправим! 
Готовый pdf номера будет размещен на 
http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp 
Отв. секретарь журнала Вестник ВГУ САИТ Гаршина В.В. 
On Thu, 15 Feb 2018 15:57:32 +0300 
Владимир Евстафьевич Магер <mv@qmd.spbstu.ru wrote: 
Уважаемые коллеги! 
Все понравилось, есть 2 незначительных замечания: 
1) на стр. 93, в последнем абзаце перед формулой (2): Iint должно быть 
курсивом, и int  в нижнем регистре; 
2) очень желательно повысить контрастность рисунков (в оригинале они 
выглядят четче). 
Спасибо за хорошую работу! 
В.Е. 
15 февраля 2018 г., 14:35 пользователь Vestnik VSU <csit@cs.vsu.ru 
написал: 
Уважаемые авторы! 
Просьба срочно проверить верстку статьи на ошибки. Если есть 
неточности, 
то 
пришлите список найденных ошибок. 
Отв. секретарь журнала Вестник ВГУ САИТ Гаршина В.В. 
",готово к публикации
"статья_Шубина_Васева Авторы_свед.docx,Рисунки_Шубина_Васева.rar,Статья_Шубина_Васева.docx Здравствуйте.
Отправляю статью и сведения об авторах.
Буду благодарна за информацию о получении файлов и о возможности публикации.
 
С уважением, Е.С. Васева.",подача статьи
"Статьи в №1 2018 года Статья 1  ( Нечаев и соавторы)   Текст.doc,Статья 2    (Нечаев и соавторы) Текст.doc Уважаемая Вероника Викторовна, в соответствии с нашими договоренностями
отправляю Вам статьи для публикации статей в №1 2018 года.
Экспертные заключения и рецензии (от Радченко Юрия Степановича, физфак)
подписаны, принесу их Вам на кафедру отдельно.
С уважением  Нечаев Ю.Б.
",подача статьи
