text,category
"повторная отправка рецензия гаршиной.doc добрый вечер отсылаю материалы рецензии работу курсанта. чтото посчитаешь нужным изменить, буду ""за"". заранее благодарен. свидания.",рецензирование
шаблон рецензии (новый) спасибо.нечаев.,другое
"статья вестник саит рецензия рецензия толстоброва статью а.с. платонова.docx добрый день посылаю рецензию толстобров александр павлович ______________________________ mailto тел. () моб.тел. skype tapvsu уважаемый александр павлович просьба отрецензировать статью оптимизация структуры базы данных информационной системы контроля образовательных достижений учащихся а.с. платонова прикрепляю также, новый вариант шаблона рецензии. гаршина в.в.",рецензирование
"статья рецензирования рецензия_на_проблема защита_пользователей.docx доброе время суток, вероника викторовна высылаю рецензию, вложении. связи. сергей ариевич, добрый день прислали статью журнал проблема защиты пользователей киберпространстве современный подход к.с. савина, а.в. поначугин прошу отрецензировать. p/s статья кажется слабой (не научной), студенческой, соотв уровню журнала. прикрепляю новый шаблон рецензии.",рецензирование
"рецензия статью рецензия толстоброва статью черненькая-магер.docx добрый день посылаю рецензию толстобров александр павлович ______________________________ mailto тел. () моб.тел. skype tapvsu уважаемый александр павлович прошу отрецензировать статью система онлайн обеспечения качества образовательных программ л.в. черненькая, в.е. магер санктпетербургский политехнический университет петра великого гаршина в.в.",рецензирование
сверка статьи,проверка статьи
сверка статьи спасибо привет отправила авторам статью сверки. всякий случай прикрепляю тебе,проверка статьи
"сверка статьи спасибо в.е. исправим готовый pdf номера размещен уважаемые коллеги понравилось, незначительных замечания ) стр. , последнем абзаце формулой () iint должно курсивом, int нижнем регистре; ) очень желательно повысить контрастность рисунков (в оригинале выглядят четче). спасибо хорошую работу в.е. уважаемые авторы просьба срочно проверить верстку статьи ошибки. неточности, пришлите список найденных ошибок.",готово к публикации
"статья_шубина_васева авторы_свед.docx,рисунки_шубина_васева.rar,статья_шубина_васева.docx здравствуйте. отправляю статью сведения авторах. буду благодарна информацию получении файлов возможности публикации. уважением, е.с. васева.",подача статьи
"статьи года статья ( нечаев соавторы) текст.doc,статья (нечаев соавторы) текст.doc уважаемая вероника викторовна, соответствии нашими договоренностями отправляю статьи публикации статей года. экспертные заключения рецензии (от радченко юрия степановича, физфак) подписаны, принесу кафедру отдельно.",подача статьи
