текст;категория;;;;;;;;;
Репост Отзыв от Гаршина.doc Добрый вечер! Предоставляю обзорные материалы по работе студента. Если вы считаете необходимым что-то изменить, то я буду только «За». Спасибо вам с этого момента. Пока.;обзор;;;;;;;;;
Ответ: Шаблон отзыва (новый) Спасибо. Нечаев.;другой;;;;;;;;;
RE: статья Вестник САИТ Рецензия Рецензия Толстоброва на статью А.С. Платонова.docx Добрый день! Направляю отзыв С уважением, Толстобров Александр Павлович ____________________________ mailto: Tap@vsu.ru тел.: +7(473)2555646 моб. тел.: +79803424150 Skype: Tapvsu Исходное сообщение От: Вестник ВГУ [mailto:csit@cs. ru весь день] Отправлено: Пятница, 9 февраля 2018, 17:36 Кому: Tap@rcnit.vsu.ru Тема: Статья бюллетеня САИТ Уважаемый Александр Павлович! Пожалуйста, прочитайте статью AS. Платонов «ОПТИМИЗАЦИЯ СТРУКТУРЫ БАЗ ДАННЫХ ИНФОРМАЦИОННОЙ СИСТЕМЫ КОНТРОЛЯ УЧЕБНОЙ УСПЕШНОСТИ СТУДЕНТОВ». Я также добавил новую версию шаблона обзора. Гаршина В.В.;обзор;;;;;;;;;
RE: статья на рассмотрение review_on_user_protection.docx выпуск Добрый день, Вероника Викторовна! Отзыв отправляю во вложении. Увидимся позже. Первое сообщение От: Вестник ВГУ [mailto:csit@cs.vsu.ru] Дата отправки: Пятница, 09 февраля 2018, 17:54 Кому: Вялых Сергей Арьевич Тема: обзорная статья Сергей Ариевич, добрый день! СОВРЕМЕННЫЙ ПОДХОД К ПРОБЛЕМЕ ЗАЩИТЫ ПОЛЬЗОВАТЕЛЕЙ В КИБЕРПРОСТРАНСТВЕ Статья отправлена в журнал KS. Савина, А.В. Поначугин Прочтите, пожалуйста. P/S Статья слабая (ненаучная), выглядит студенческой и не соответствует уровню журнала. Добавляю новый шаблон отзыва. С уважением, Гаршина В.В.;обзор;;;;;;;;;
RE: Рецензия на статью Толстобровой Рецензия на статью Черненькой-Магер.docx Добрый день! Направляю отзыв С уважением, Толстобров Александр Павлович ____________________________ mailto: Tap@vsu.ru тел.: +7(473)2555646 моб. тел.: +79803424150 Skype: Tapvsu Исходное сообщение От: Вестник ВГУ [mailto:csit@cs. ру весь день] Отправлено: Воскресенье, 11 февраля 2018, 22:37 Кому: Tap@vsu.ru Тема: рецензия на статью Уважаемый Александр Павлович! Прочтите статью LV ОНЛАЙН-СИСТЕМА ОБЕСПЕЧЕНИЯ КАЧЕСТВА ОБУЧАЮЩИХ ПРОГРАММ. Черненькая, И Магер Петра Великого. Петербургский политехнический университет Гаршин В.В.;обзор;;;;;;;;;
 Re: проверка статьи;проверка статьи;;;;;;;;;
 Ответ: Статью проверяю СПАСИБО!!!!!!!!!!!!! 15.02.2018, 14:50, «Вестник ВГУ» <csit@cs.vsu.ru: Здравствуйте! Отправил статью авторам на рассмотрение. Добавляю для вас на всякий случай.;проверка статьи;;;;;;;;;
"Ответ: Проверяю статью Спасибо! И 15 февраля 2018, 22:11 Пользователь рассылки ВГУ <csit@cs.vsu.ru написал: Исправим! Готовый pdf-файл выпуска будет опубликован по адресу http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp. Генеральный секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В. Четверг, 15 февраля 2018 г. 15:57:32 +0300 Магер Владимир Евстафьевич <mv@qmd.spbstu.ru написал: Уважаемые коллеги! Все понравилось, есть 2 небольших замечания: 1) На странице 93, в последнем абзаце перед формулой (2): Iint должен быть курсивом, а int - строчными буквами; 2) очень желательно увеличить контрастность рисунков (в оригинале они выглядят резче). Спасибо за хорошую работу! И 15 февраля 2018, 14:35 Пользователь информационного бюллетеня ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок в ее оформлении. Если есть ошибки, пожалуйста, опубликуйте список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.";готов к публикации;;;;;;;;;
Статья_Шубина_Васева Авторы_информация.docx, Чертежи_Шубина_Васева.rar, Статья_Шубина_Васева.docx Здравствуйте. Посылаю Вам статью и информацию о ее авторах. Буду признателен, если Вы предоставите информацию о получении файлов и возможности их публикации. С уважением, Е.С. Васева.;подача статьи;;;;;;;;;
Выпущенные статьи, 2018 Статья 1 (Нечаев и соавторы) Текст.doc, Статья 2 (Нечаев и соавторы) Текст.doc Уважаемая Вероника Викторовна, в соответствии с нашими договоренностями, отправляю Вам статьи для публикации. Статья в выпуске 1, 2018 г. d. Экспертные заключения и рецензии (от физического факультета Юрия Степановича Радченко) подписаны, я приведу их вам отдельно в разделе. С уважением, Нечаев Ю.Б.;подача статьи;;;;;;;;;
"Ответ: Snapshot_fig 1.Проверяем статью в формате JPG. Извините за задержку с ответом, мы заболели... 1) Когда я в прошлый раз проверял аннотацию и ключевые слова, сомнений не было. 2) Чертеж отправляю неподписанным в формате JPEG. Может быть, попробуйте. это лучше. И 16 февраля 2018, 23:44 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: У нас проблемы с версткой. 1) Проверьте аннотацию и ключевые слова на английском языке. Есть замечание о качестве перевода 2) Мы не можем судить о качестве иллюстраций независимо от присланного документа Word. Качественные рисунки просим присылать отдельными файлами (форматы png, tif, jpg). !!! Вам также нужно будет удалить подпись с первого рисунка. Секретарь журнала В.В. Пт, 16 фев 2018 11:24:40 +0300 Владимир Евстафьевич Магер <mv@qmd.spbstu.ru написал: Спасибо! И 15 февраля 2018, 22:11 Пользователь рассылки ВГУ <csit@cs.vsu.ru написал: Исправим! Готовый pdf-файл выпуска будет опубликован по адресу http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp. Генеральный секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В. Четверг, 15 февраля 2018 г. 15:57:32 +0300 Магер Владимир Евстафьевич <mv@qmd.spbstu.ru написал: Уважаемые коллеги! Все понравилось, есть 2 небольших замечания: 1) На странице 93, в последнем абзаце перед формулой (2): Iint должен быть курсивом, а int - строчными буквами; 2) очень желательно увеличить контрастность рисунков (в оригинале они выглядят резче). Спасибо за хорошую работу! И 15 февраля 2018, 14:35 Пользователь информационного бюллетеня ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! Пожалуйста, немедленно проверьте статью на наличие ошибок в ее оформлении. Если есть ошибки, пожалуйста, опубликуйте список найденных ошибок. Представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.";пересмотр;;;;;;;;;
 рисунки Вы получили рисунок 1? Что касается второго рисунка, то это принтскрин, с ним наверное сложно что-то сделать. БЫТЬ;Вопросы;;;;;;;;;
Ответ: Дополнительная информация по статье Спасибо. Давайте взглянем. Однако из-за ее нерелевантности к теме мы просим снять эту статью с рассмотрения и опубликовать в вашем журнале. С уважением, Артем Лобанцев / С уважением, Артем Лобанцев. Телеграмм: http://t.me/lobantsev 19 февраля 2018, 21:42 Вестник ВГУ <csit@cs.vsu.ru написал: Уважаемые писатели! В связи с проектированием онтологической системы хранения текущих результатов медицинской диагностики в статье возникли следующие вопросы: В тексте есть ссылки на рисунок 5.6, но сами рисунки отсутствуют. Ознакомьтесь с полным текстом статьи. Представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;отклоненный;;;;;;;;;
Ответ[6]: макет статьи Здравствуйте, комментариев нет. Потеряны данные. Ненадович Д.М., доктор технических наук. наук, ведущий научный сотрудник, «Корпорация специальных космических систем «Комета», Москва, УДК 621.396 С уважением, Ненадович В Директ +7 915 359 01 72;пересмотр;;;;;;;;;
просмотреть предложенный шаблон-SAIT.docx Когда мы опубликуем требования к статьям? Все уже согласовано... Иначе нам придется пересматривать такие положения навсегда. Вам не обязательно ждать выхода нового выпуска. С уважением, Сирота А.;другой;;;;;;;;;
Статья в Вестнике ВГУ: Системный анализ и информационные технологии БондаревЛопаткинСмирнов_Посадка.doc,picture1.jpg,picture2.jpg,picture3.jpg,picture4.jpg,picture5.jpg,picture6.jpg,ОПИС.doc Здравствуйте. XVIII. Просим Вас принять публикацию предложенной к публикации статьи по итогам доклада Международной конференции «Информатика: проблемы, методология, технологии» в журнале «Вестник ВГУ» (Серия: Системный анализ и информационные технологии). . . » Заведующий отделом «Компьютерное моделирование в фундаментальных и прикладных исследованиях» Семенов М.Г. Наши контакты для связи: Лопаткин Дмитрий Викторович (89102499025), Бондарев Валерий Георгиевич (89192415383). Пока! С уважением, Дмитрий Лопаткин.;подача статьи;;;;;;;;;
Ответ[2]: Статья Сэндлера И.Л. Комплект документов для журнала «ВГУ. Серия Вестник: Системный анализ и информационные технологии» Добрый день, уважаемая редакция!!! Скажите, на какой стадии моя статья? С уважением, Илья Сандлер sandleri@bk.ru Пятница, 9 февраля 2018 г., 17:33 +04:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемый автор! Материалы статьи получены и будут представлены на рассмотрение. Секретарь журнала «Республика» Гаршина Вероника Викторовна Чт, 08 фев 2018 21:13:52 +0300 Илья Сандлер < sandleri@bk.ru написал: Переслано сообщение От: Илья Сандлер < sandleri@bk.ru Кому: csit < csit@cs. vsu.ru Дата: воскресенье, 4 февраля 2018 г., 12:31 +04:00 Тема: Статья Сэндлера И.Л. Комплект документов для журнала «Вестник ВГУ». Серия: Системный анализ и информационные технологии» Добрый день, уважаемая редакция!!! Хочу подать статью в журнал «Вестник ВГУ». В разделе «Системный анализ и информационные технологии» Математические методы системного анализа и управления. Прикреплено: архив, содержащий четыре файла: опись, статья и 6 рисунков. С уважением, Илья Сандлер sandleri@bk.ru С уважением, Илья Сандлер sandleri@bk.ru.;Вопросы;;;;;;;;;
Ответ: Статья в Вестнике ВГУ Полицына С.А., Полицына Е.В. ПРИМЕНЕНИЕ ТЕКСТОВЫХ ОБЪЕДИНЕНИЙ ДЛЯ АВТОМАТИЧЕСКОЙ КЛАССИФИКАЦИИ В КОМПЛЕКСЕ АВТОМАТИЧЕСКОГО АНАЛИЗА ТЕКСТА Tools.zip Добрый день! По итогам конференции мы представляем расширенную версию статьи для публикации в Вестнике ВГУ. Архив с электронной версией статьи прилагается. С уважением, Екатерина;подача статьи;;;;;;;;;
Статьи Вестник-ВСУ-Троценко.zip, Гусев_Скрипченко_Школьникова.rar, результат раздела САПР.pdf, Обзор_Гусев.pdf, Обзор_Паринов.pdf, Обзор_Троценко.pdf, Yurov_terminal.rar Здравствуйте! XVIII. Направляю Вам статьи, рекомендованные к публикации в журнале «Вестник ВГУ» по итогам работы секции «САПР и цифровые технологии» Международной конференции «Информатика: проблемы, методология, технологии». Помимо письма, есть статьи, рецензии и архивы, содержащие заключение эпизода. С уважением, Гусев Павел.;подача статьи;;;;;;;;;
Статья для SAIT: Анализ влияния непрерывных контрольных действий... 51.pdf,Bilченко_GGjr_NG_10__SAIT__description_of_files.rtf,Bilченко_GGjr_NG_10_Figures_TIFF.zip,Bilченко_GGjr_NG_10_Figures_PNG.zip,Bilченко_GGjr_NG_10_Figures_EPS_ConvPDF.zip C С уважением, Аспирант машиностроительного факультета ВГУ, кафедра физики и Математические науки проф. Шашкин Александр Иванович предположительно 8(473)2208322 dean@amm.vsu.ru оригинал сообщения ниже;подача статьи;;;;;;;;;
Нет темы Здравствуйте! Вам пишет Дмитрий Литвинов, аспирант математического факультета Воронежского государственного университета! Свою статью я отправлю в журнал «Вестник ВГУ». Серия: Системный анализ и информационные технологии». В связи с этим у меня несколько вопросов: 1) Принимаете ли вы задания от аспирантов? 2) Какие документы и другие материалы необходимо предоставить в редакцию вместе со статьей? 3) Можно ли предоставить электронную версию статьи в формате tex? 4) Сколько времени занимает процесс рецензирования журнала? Спасибо вам с этого момента!;Вопросы;;;;;;;;;
