text,category
"повторная отправка рецензия гаршиной.doc добрый вечер! отсылаю материалы рецензии на работу курсанта. если чтото посчитаешь нужным изменить, то я буду только ""за"". заранее благодарен. до свидания.",рецензирование
 шаблон рецензии (новый) спасибо.нечаев.,другое
" статья вестник саит рецензия рецензия толстоброва на статью а.с. платонова.docx добрый день! посылаю рецензию толстобров александр павлович ______________________________ mailto: тел.: +7(473)2555646 моб.тел.: +79803424150 skype: tapvsu уважаемый александр павлович! просьба отрецензировать статью оптимизация структуры базы данных информационной системы контроля образовательных достижений учащихся а.с. платонова прикрепляю также, новый вариант шаблона рецензии. гаршина в.в. ",рецензирование
" статья для рецензирования рецензия_на_проблема защита_пользователей.docx доброе время суток, вероника викторовна! высылаю рецензию, во вложении. до связи. сергей ариевич, добрый день! прислали статью в журнал проблема защиты пользователей в киберпространстве современный подход к.с. савина, а.в. поначугин прошу отрецензировать. p/s статья мне кажется слабой (не научной), студенческой, не соотв уровню журнала. прикрепляю новый шаблон рецензии. ",рецензирование
" рецензия на статью рецензия толстоброва на статью черненькая-магер.docx добрый день! посылаю рецензию толстобров александр павлович ______________________________ mailto: тел.: +7(473)2555646 моб.тел.: +79803424150 skype: tapvsu уважаемый александр павлович! прошу отрецензировать статью система онлайн обеспечения качества образовательных программ л.в. черненькая, в.е. магер санктпетербургский политехнический университет петра великого гаршина в.в. ",рецензирование
 сверка статьи ,проверка статьи
 сверка статьи спасибо!!!!!!!!!! привет! я отправила авторам статью для сверки. на всякий случай прикрепляю тебе ,проверка статьи
" сверка статьи спасибо! в.е. исправим! готовый pdf номера будет размещен на уважаемые коллеги! все понравилось, есть 2 незначительных замечания: 1) на стр. 93, в последнем абзаце перед формулой (2): iint должно быть курсивом, и int в нижнем регистре; 2) очень желательно повысить контрастность рисунков (в оригинале они выглядят четче). спасибо за хорошую работу! в.е. уважаемые авторы! просьба срочно проверить верстку статьи на ошибки. если есть неточности, то пришлите список найденных ошибок. ",готово к публикации
"статья_шубина_васева авторы_свед.docx,рисунки_шубина_васева.rar,статья_шубина_васева.docx здравствуйте. отправляю статью и сведения об авторах. буду благодарна за информацию о получении файлов и о возможности публикации. с уважением, е.с. васева.",подача статьи
"статьи в №1 2018 года статья 1 ( нечаев и соавторы) текст.doc,статья 2 (нечаев и соавторы) текст.doc уважаемая вероника викторовна, в соответствии с нашими договоренностями отправляю вам статьи для публикации статей в №1 2018 года. экспертные заключения и рецензии (от радченко юрия степановича, физфак) подписаны, принесу их вам на кафедру отдельно. ",подача статьи
" сверка статьи снимок_рис 1.jpg извините за задержку с ответом болеем... 1) аннотацию и ключевые слова проверил еще в прошлый раз, сомнений не возникло. 2) высылаю рисунок в формате jpeg, без подписи. попробуйте, м.б. этот лучше. в.е. по верстке у нас есть проблемы. 1) проверьте аннотацию и ключевые слова на английском. есть замечание по качеству перевода 2) рисунки мы самостоятельно по качеству из представленного wordского документа не вытянем. пришлите рисунки хорошего качества отдельными файлами (форматы png, tif, jpg). !!! также нужно удалить подрисуночную подпись из первого рисунка. спасибо! в.е. исправим! готовый pdf номера будет размещен на уважаемые коллеги! все понравилось, есть 2 незначительных замечания: 1) на стр. 93, в последнем абзаце перед формулой (2): iint должно быть курсивом, и int в нижнем регистре; 2) очень желательно повысить контрастность рисунков (в оригинале они выглядят четче). спасибо за хорошую работу! в.е. уважаемые авторы! просьба срочно проверить верстку статьи на ошибки. если есть неточности, то пришлите список найденных ошибок. ",доработка
"рисунки получили ли вы рисунок 1? по поводу второго рисунка это принтскрин, с ним, наверное сложно чтото сделать. в.е. ",вопросы
" доп инф по статье спасибо. посмотрим. однако, просим снять эту статью с рецензирования и публикации в вашем журнале в связи с неактуальностью. best regards, artem lobantsev / telegram: уважаемые авторы! в связи с версткой статьи онтологическая система для хранения текущих результатов медицинской диагностики возникли вопросы: в тексте есть ссылки на рис 5,6 , а самих рисунков нет. проверьте весь текст статьи. ",отклонена
" верстка статьи здравствуйте, замечаний нет. недостающие данные. nenadovich dm dr. of tech. sciences, leading researcher, ""corporation special space systems ""comet"", moscow, удк 621.396 ненадович д.м. +7 915 359 01 72 ",доработка
