id,text
82,добрый вечер отсылаю материалы рецензии работу курсанта если чтото посчитаешь нужным изменить буду за заранее благодарен до свидания 
83,спасибо нечаев 
90,добрый день посылаю рецензию толстобров александр павлович mailto тел моб тел skype tapvsu уважаемый александр павлович просьба отрецензировать статью оптимизация структуры базы данных информационной системы контроля образовательных достижений учащихся а с платонова прикрепляю также новый вариант шаблона рецензии гаршина в в 
98,доброе время суток вероника викторовна высылаю рецензию вложении до связи сергей ариевич добрый день прислали статью журнал проблема защиты пользователей в киберпространстве современный подход к с савина а в поначугин прошу отрецензировать p s статья кажется слабой не научной студенческой соотв уровню журнала прикрепляю новый шаблон рецензии 
92,добрый день посылаю рецензию толстобров александр павлович mailto тел моб тел skype tapvsu уважаемый александр павлович прошу отрецензировать статью система онлайн обеспечения качества образовательных программ л в черненькая в е магер санктпетербургский политехнический университет петра великого гаршина в в 
79,спасибо привет я отправила авторам статью сверки на всякий случай прикрепляю тебе
81,спасибо в е исправим готовый pdf номера размещен уважаемые коллеги все понравилось незначительных замечания стр последнем абзаце формулой iint должно курсивом int нижнем регистре очень желательно повысить контрастность рисунков в оригинале выглядят четче спасибо хорошую работу в е уважаемые авторы просьба срочно проверить верстку статьи ошибки если неточности пришлите список найденных ошибок 
123,здравствуйте отправляю статью сведения авторах буду благодарна информацию получении файлов возможности публикации с уважением е с васева 
99,уважаемая вероника викторовна соответствии нашими договоренностями отправляю вам статьи публикации статей № года экспертные заключения рецензии от радченко юрия степановича физфак подписаны принесу вам кафедру отдельно 
91,извините задержку ответом болеем аннотацию ключевые слова проверил прошлый раз сомнений возникло высылаю рисунок формате jpeg подписи попробуйте м б лучше в е по верстке проблемы проверьте аннотацию ключевые слова английском есть замечание качеству перевода рисунки самостоятельно качеству представленного wordского документа вытянем пришлите рисунки хорошего качества отдельными файлами форматы png tif jpg также нужно удалить подрисуночную подпись первого рисунка спасибо в е исправим готовый pdf номера размещен уважаемые коллеги все понравилось незначительных замечания стр последнем абзаце формулой iint должно курсивом int нижнем регистре очень желательно повысить контрастность рисунков в оригинале выглядят четче спасибо хорошую работу в е уважаемые авторы просьба срочно проверить верстку статьи ошибки если неточности пришлите список найденных ошибок 
85,получили вы рисунок по поводу второго рисунка это принтскрин ним наверное сложно чтото сделать в е 
86,спасибо посмотрим однако просим снять статью рецензирования публикации вашем журнале связи неактуальностью best regards artem lobantsev telegram уважаемые авторы в связи версткой статьи онтологическая система хранения текущих результатов медицинской диагностики возникли вопросы в тексте ссылки рис самих рисунков нет проверьте весь текст статьи 
89,здравствуйте замечаний нет недостающие данные nenadovich dm dr of tech sciences leading researcher corporation special space systems comet moscow удк ненадович д м 
97,когда выложим требования статьям согласовали все иначе нам придется бесконечности рецензировать такие статьи не обязательно ждать выхода нового номера 
100,здравствуйте просим принять статью публикации журнале «вестник вгу серия системный анализ информационные технологии» рекомендованным опубликованию результатам доклада xviii международной конференции «информатика проблемы методология технологии» председателем секции компьютерное моделирование фундаментальных прикладных исследованиях м г семеновым для связи наши контакты лопаткин дмитрий викторович бондарев валерий георгиевич до свидания 
95,добрый день уважаемая редакция не подскажете стадии статья илья сандлер уважаемый автор материалы статьи получены будут переданы рецензирование серия системный анализ информационные технологии добрый день уважаемая редакция я хочу подать статью журнал вестник вгу серия системный анализ информационные технологии раздел математические методы системного анализа управления в приложении архив котором содержится четыре файла опись статья рисунков илья сандлер илья сандлер
101,добрый день высылаем расширенную версию статьи итогам конференции публикации вестнике вгу архив электронной версией статьи вложении екатерина
257,здравствуйте направляю вам статьи рекомендованные публикации журнале вестник вгу итогам работы секции сапр цифровые технологии xviii международной конференции «информатика проблемы методология технологии» в приложении письму архивы статьями рецензии заключение секции гусев павел
218,д ф м н проф шашкин александр иванович т оригинальное сообщение следует
96,здравствуйте пишет вам аспирант математического факультета вгу литвинов дмитрий я собираюсь отправить статью журнал вестник вгу серия системный анализ информационные технологии в связи этим несколько вопросов принимаете вы статьи аспирантов какие документы прочие материалы должен предоставить вместе статьей редакцию можно предоставить электронную версию статьи формате tex как долго происходит процесс рецензирования журнале заранее спасибо 
108,вероника викторовна добрый день к сожалению успели вам отправить статью конца февраля проинформируйте пожалуйста можем успеть опубликовать апрельском номере будем очень признательны такая возможность готовы оперативно учесть любые возможные замечания на всякий случай прикрепленном файле статья рассмотрение спасибо рубен агаджанян gmt vestnik vsu уважаемый автор до конца февраля проводится рецензирование статей выход апрель присылайте материалы статьи рассмотрим бумажный вариант нужен уважаемая редакция я являюсь аспирантом ереванского государственного университета факультет информатики прикладной математики хотел разместить научную статью журнале вестник воронежского государственного университета проинформируйте пожалуйста ожидается ближайшая публикация которую разместить мою статью учетом времени просмотр рецензию спасибо рубен агаджанян email mob a str r meliqyan yerevan ra
112,здравствуйте уважаемая редакция научного журнала вестник воронежского государственного университета серия системный анализ информационные технологии просим рассмотреть нашу статью целью её публикации вашем журнале 
118,добрый день уважаемая редакция журнала во вложении статья опись прошу проверить предмет соответствия требованиям оформлению допустить рецензированию спасибо карина гутова моб тел 
104,кому olga donina спасибо gmt olga donina донина ольга olga donina
155,привет вероника высылаю твои старые рабочие программы ргф 
103,привет вероника высылаю твои старые рабочие программы ргф 
102,вот вертелось голове чтото забыли может ктото был vestnik vsu пишет управляющий директор европейского исследовательского центра области информационных систем ercis вестфальского уноверситета имени вильгель
106,еще семенова место работы основное с уваженим а сиротаотправлено смартфона samsung galaxy исходное сообщение от vestnik vsu дата gmt кому тема таратухин совсем забыла декабре получили согласие таратухина в в включении состав редколлегии таратухин виктор владимирович профессор доктор философии кандидат технических наук директор глобальному сотрудничеству академической инициативы nextgen компании sap представитель компании стэнфордском университете stanford university usa управляющий директор европейского исследовательского центра области информационных систем ercis вестфальского уноверситета имени вильгельма г мюнстер германия ринц хирш 
114,отправляю мою статью вестник искренне проф в задорожний
105,здравствуйте уважаемая редакция журнала вестник вгу я хочу опубликовать статью вашем журнале но понял исходя информации сайте принимаете статьи электронном виде отпечатанном 
203,здравствуйте отправляю вам статью литвинова д а поиск минимального ограничения непрерывной функции управления 
121,добрый день прошу учитывать статью передана другое издание причине отсутствия ответа спасибо добрый день уважаемая редакция журнала во вложении статья опись прошу проверить предмет соответствия требованиям оформлению допустить рецензированию спасибо карина гутова моб тел спасибо карина гутова моб тел 
107,уважаемая вероника викторовна добрый день хотелось узнать участь статьи совершенствование процесса управления качеством продукции на предприятии с использованием информационных технологий медведицков с и кузьминов в в савончик д а с и пользователь сергей иванович медведицков написал уважаемая вероника викторовна добрый день с новым годом рождеством христовым вас хотелось узнать участь моей статьи последний раз вы сообщали направлена рецензирование прошло месяца информации никакой поступило пользователь vestnik vsu написал уважаемый автор журнал вестник вгу серия системный анализ информационные технологии выходит раза год все статьи проходят рецензирование результатам которого принимается публикации отправляются доработку с возможностью повторного рецензирования отклоняются сейчас принимаем статьи рецензирование правила авторов условия публикаций сайте журнала материалы публикации должны содержать удк название статьи рус англ текст статьи стр times интервал формулы mattype рисунки продублированы отдельными jpeg файлами статья должна структурирована разделам постановка задачи выводы заключение список литературы оформленный библиографическим правилам аннотация статье рус англ сведения авторах рус англ скан акта экспертного заключения возможности публикации материалов из вашей организации аспирантов магистров публикуем соавторстве руководителями уважаемая редакция добрый день прошу вас направить требования предъявляемые статьям заранее благодарен 
117,во вложении сд уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей 
120,уважаемая вероника викторовна у днях появилась одна публикация scopus высылаю скорректированную информацию члене редколлегии сд уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей 
111, vestnik vsu пишет уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей 
109, vestnik vsu пишет спасибо александр анатольевич ответили первым в тексте уважаемая это переделывала письмо леденевой а точно редколлегиях др журналов состоите член редколлегии раздела «информационный конфликт спектре электромагнитных волн» журнала «радиотехника» научные ведомости белгу vestnik vsu пишет уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей 
110,здравствуйте направлял вам статьи рекомендованные публикации журнале вестник вгу итогам работы секции сапр цифровые технологии xviii международной конференции «информатика проблемы методология технологии» вами материалы получены требуются какиелибо документы публикации гусев павел
165,добрый день нет новостей возможности публикации статьи здравствуйте отправляю статью сведения авторах буду благодарна информацию получении файлов возможности публикации 
145,вероника это статья липецка д ф м н проф шашкин александр иванович т оригинальное сообщение следует
113,добрый день высылали статью хотелось уточнить дошла они екатерина добрый день высылаем расширенную версию статьи итогам конференции публикации вестнике вгу архив электронной версией статьи вложении екатерина
115,добрый день высылали статью хотелось уточнить дошла она екатерина добрый день высылаем расширенную версию статьи итогам конференции публикации вестнике вгу архив электронной версией статьи вложении екатерина
116,здравствуйте уважаемая редакция научного журнала вестник воронежского государственного университета серия системный анализ информационные технологии я отправляла статью к вопросу обработки экспертной информации выбора персонифицированных факторов риска рассмотрение скажите пожалуйста какойнибудь результат улыбнись миру мир улыбнётся тебе без вирусов dabfadddbbabeaaffdf
119,добрый день уважаемая редакция не подскажете стадии статья илья сандлер добрый день уважаемая редакция не подскажете стадии статья илья сандлер уважаемый автор материалы статьи получены будут переданы рецензирование серия системный анализ информационные технологии добрый день уважаемая редакция я хочу подать статью журнал вестник вгу серия системный анализ информационные технологии раздел математические методы системного анализа управления в приложении архив котором содержится четыре файла опись статья рисунков илья сандлер илья сандлер илья сандлер
