id,text,subject,category
82,добрый вечер отсылаю материалы рецензии на работу курсанта если что то посчитаешь нужным изменить то я буду только за заранее благодарен до свидания ,повторная отправка,
83,спасибо нечаев , шаблон рецензии новый ,
90,добрый день посылаю рецензию с уважением толстобров александр павлович mailto tap vsu ru тел моб тел skype tap vsu original message from vestnik vsu mailto cs it cs vsu ru sent friday february pm to tap rcnit vsu ru subject статья вестник саит уважаемый александр павлович просьба отрецензировать статью оптимизация структуры базы данных информационной системы контроля образовательных достижений учащихся а с платонова прикрепляю также новый вариант шаблона рецензии гаршина в в , статья вестник саит рецензия,
98,доброе время суток вероника викторовна высылаю рецензию во вложении до связи original message from vestnik vsu mailto cs it cs vsu ru sent friday february pm to вялых сергей ариевич subject статья для рецензирования сергей ариевич добрый день прислали статью в журнал проблема защиты пользователей в киберпространстве современный подход к с савина а в поначугин прошу отрецензировать p s статья мне кажется слабой не научной студенческой не соотв уровню журнала прикрепляю новый шаблон рецензии с уважением гаршина в в , статья для рецензирования,
92,добрый день посылаю рецензию с уважением толстобров александр павлович mailto tap vsu ru тел моб тел skype tap vsu original message from vestnik vsu mailto cs it cs vsu ru sent sunday february pm to tap vsu ru subject рецензия на статью уважаемый александр павлович прошу отрецензировать статью система он лайн обеспечения качества образовательных программ л в черненькая в е магер санкт петербургский политехнический университет петра великого гаршина в в , рецензия на статью,
80,, сверка статьи,
79,спасибо vestnik vsu cs it cs vsu ru привет я отправила авторам статью для сверки на всякий случай прикрепляю тебе , сверка статьи,
81,спасибо в е февраля г пользователь vestnik vsu cs it cs vsu ru написал исправим готовый pdf номера будет размещен на http www vestnik vsu ru content analiz archive ru asp отв секретарь журнала вестник вгу саит гаршина в в on thu feb владимир евстафьевич магер mv qmd spbstu ru wrote уважаемые коллеги все понравилось есть незначительных замечания на стр в последнем абзаце перед формулой iint должно быть курсивом и int в нижнем регистре очень желательно повысить контрастность рисунков в оригинале они выглядят четче спасибо за хорошую работу в е февраля г пользователь vestnik vsu cs it cs vsu ru написал уважаемые авторы просьба срочно проверить верстку статьи на ошибки если есть неточности то пришлите список найденных ошибок отв секретарь журнала вестник вгу саит гаршина в в , сверка статьи,
123,здравствуйте отправляю статью и сведения об авторах буду благодарна за информацию о получении файлов и о возможности публикации с уважением е с васева ,статья шубина васева,
99,уважаемая вероника викторовна в соответствии с нашими договоренностями отправляю вам статьи для публикации статей в № года экспертные заключения и рецензии от радченко юрия степановича физфак подписаны принесу их вам на кафедру отдельно с уважением нечаев ю б ,статьи в № года,
91,извините за задержку с ответом болеем аннотацию и ключевые слова проверил еще в прошлый раз сомнений не возникло высылаю рисунок в формате jpeg без подписи попробуйте м б этот лучше в е февраля г пользователь vestnik vsu cs it cs vsu ru написал по верстке у нас есть проблемы проверьте аннотацию и ключевые слова на английском есть замечание по качеству перевода рисунки мы самостоятельно по качеству из представленного word ского документа не вытянем пришлите рисунки хорошего качества отдельными файлами форматы png tif jpg также нужно удалить подрисуночную подпись из первого рисунка отв секретарь журнала гаршина в в on fri feb владимир евстафьевич магер mv qmd spbstu ru wrote спасибо в е февраля г пользователь vestnik vsu cs it cs vsu ru написал исправим готовый pdf номера будет размещен на http www vestnik vsu ru content analiz archive ru asp отв секретарь журнала вестник вгу саит гаршина в в on thu feb владимир евстафьевич магер mv qmd spbstu ru wrote уважаемые коллеги все понравилось есть незначительных замечания на стр в последнем абзаце перед формулой iint должно быть курсивом и int в нижнем регистре очень желательно повысить контрастность рисунков в оригинале они выглядят четче спасибо за хорошую работу в е февраля г пользователь vestnik vsu cs it cs vsu ru написал уважаемые авторы просьба срочно проверить верстку статьи на ошибки если есть неточности то пришлите список найденных ошибок отв секретарь журнала вестник вгу саит гаршина в в , сверка статьи,
85,получили ли вы рисунок по поводу второго рисунка это принтскрин с ним наверное сложно что то сделать в е ,рисунки,
86,спасибо посмотрим однако просим снять эту статью с рецензирования и публикации в вашем журнале в связи с неактуальностью best regards artem lobantsev с уважением артём лобанцев telegram http t me lobantsev on feb at vestnik vsu cs it cs vsu ru wrote уважаемые авторы в связи с версткой статьи онтологическая система для хранения текущих результатов медицинской диагностики возникли вопросы в тексте есть ссылки на рис а самих рисунков нет проверьте весь текст статьи отв секретарь журнала вестник вгу саит гаршина в в , доп инф по статье,
89,здравствуйте замечаний нет недостающие данные nenadovich dm dr of tech sciences leading researcher corporation special space systems comet moscow удк с уважением ненадович д м , верстка статьи,
97, когда же мы выложим требования к статьям согласовали уже все иначе нам придется до бесконечности рецензировать такие вот статьи не обязательно же ждать выхода нового номера с уважением а сирота ,рецензия,
100,здравствуйте просим принять статью для публикации в журнале «вестник вгу серия системный анализ и информационные технологии» рекомендованным к опубликованию по результатам доклада xviii международной конференции «информатика проблемы методология технологии» председателем секции компьютерное моделирование в фундаментальных и прикладных исследованиях м г семеновым для связи наши контакты лопаткин дмитрий викторович бондарев валерий георгиевич до свидания с уважением лопаткин дмитрий ,статья в вестник вгу системный анализ и информационные технологии,
