текст;категория
Отправить отзыв о Garshina.doc повторно Добрый вечер! Высылаю обзорные материалы по работе курсанта. Если вы чувствуете необходимость что-то изменить, то я буду только «За». Заранее спасибо. Пока мы не встретимся снова.;Пока мы не встретимся снова
Re: Шаблон обзора (новый) Спасибо Нечаеву.;другой
"RE: Рецензия на статью ""Вестника САИТ"" Рецензия Толстоброва на статью А.С. Платоновой.docx Здравствуйте! Отправка отзыва С уважением, Толстобров Александр Павлович ______________________________ mailto: Tap@vsu.ru тел.: +7(473)2555646 тел. мобильный: +79803424150 Skype: Tapvsu Исходное сообщение от: Вестник ВГУ [mailto:csit@cs. против. ru] Отправлено: Пятница, 9 февраля 2018 года, 17:36 Кому: Tap@rcnit.vsu.ru Тема: Статья в бюллетене САИТ Уважаемый Александр Павлович! См. статью ОПТИМИЗАЦИЯ СТРУКТУРЫ БАЗЫ ДАННЫХ ИНФОРМАЦИОННОЙ СИСТЕМЫ КОНТРОЛЯ УЧЕБНЫХ РЕЗУЛЬТАТОВ СТУДЕНТОВ А.С. Платонова. Также прилагаю новую версию обзорной модели. Гаршина";Пока мы не встретимся снова
RE: статья на обзор review_on_Problem автора user_protection.docx Здравствуйте, Вероника Викторовна! Отправляю уведомление в виде вложения. Увидимся позже. Исходное сообщение от: Вестник ВГУ [mailto:csit@cs.vsu.ru] Отправлено: Пятница, 9 февраля 2018 г., в 17:54 Кому: Вялых Сергей Ариевич Тема: Статья на рецензию Сергей Ариевич, добрый день! Опубликована статья в журнал ПРОБЛЕМА ЗАЩИТЫ ПОЛЬЗОВАТЕЛЕЙ В КИБЕРПРОСТРАНСТВЕ СОВРЕМЕННЫЙ ПОДХОД К.С. Савина, А.В. Поначугин Пожалуйста, ознакомьтесь. P/S Статья кажется слабой (ненаучной), написанной студентами и не соответствующей стандарту журнала. Прикрепляю новый шаблон уведомления. С уважением, Гаршина В.В.;Пока мы не встретимся снова
RE: рецензия на статью Толстоброва рецензия на статью Черненькая-Магер.docx Здравствуйте! Отправка отзыва С уважением, Толстобров Александр Павлович ______________________________ mailto: Tap@vsu.ru тел.: +7(473)2555646 тел. мобильный: +79803424150 Skype: Tapvsu Исходное сообщение от: Вестник ВГУ [mailto:csit@cs. против. ru] Отправлено: Воскресенье, 11 февраля 2018 г., 22:37 Кому: Tap@vsu.ru Тема: Рецензия на статью Уважаемый Александр Павлович! См. статью ОНЛАЙН-СИСТЕМА ОБЕСПЕЧЕНИЯ КАЧЕСТВА ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ Л.В. Черненькая, В.Е. Магер Санкт-Петербургский политехнический институт Петра Великого Гаршин В.В.;Пока мы не встретимся снова
 Re: Проверка статьи;проверить предметы
 Re: проверяю статью СПАСИБО!!!!!!!!!!! 15.02.2018, 14.50, «Вестник ВГУ» <csit@cs.vsu.ru: Здравствуйте! Отправил статью авторам на рассмотрение. На всякий случай прикреплю к вам.;проверить предметы
"Re: проверка статьи Спасибо! ВЭ 15 февраля 2018, 22.11 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Исправим! Окончательный pdf-файл номера будет опубликован на http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp Ответственный секретарь журнала «Вестник» ВГУ САИТ Гаршина В.В. Чт 15 февраля 2018 15:57:32 + 0300 Магер Владимир Евстафьевич <mv@qmd.spbstu.ru написал: Уважаемые коллеги! Все понравилось, есть 2 небольших замечания: 1) на стр. 93, в последнем абзаце перед формулой (2): Iint нужно выделить курсивом, а int строчными буквами; 2) очень желательно увеличить контрастность рисунков (в оригинале они выглядят резче). Спасибо за отличную работу! ВЭ 15 февраля 2018, 14.35 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! Пожалуйста, сразу проверьте оформление статьи на наличие ошибок. В случае неточностей присылайте список найденных ошибок. представитель секретаря журнала ""Вестник ВГУ"" САИТ Гаршина В.В.";готов к публикации
Статья_Шубина_Васева Авторы_информация.docx, Чертежи_Шубина_Васева.rar, Статья_Шубина_Васева.docx Привет. Высылаю статью и информацию об авторе. Буду признателен за информацию о том, как получить документы и возможность публикации. С уважением, Е.С. Васева.;презентация статьи
 Статьи в н. 1, 2018 Статья 1 (Нечаев и соавторы) Текст.doc, Статья 2 (Нечаев и соавторы) Текст.doc Уважаемая Вероника Викторовна, в соответствии с нашими договоренностями, отправляю Вам для публикации статьи из статей № 1. 1 декабря 2018 г. Отзывы и экспертные заключения (Радченко Юрий Степанович, физический факультет) подписаны, привезу их Вам отдельно на кафедру. С уважением, Нечаев Ю.Б.;презентация статьи
"Re: проверка статьи Snapshot_fig 1.JPG Извините за поздний ответ, мы больны... 1) Я проверял краткое содержание и ключевые слова в прошлый раз, сомнений не было. 2) Чертеж присылаю в формате JPEG, без подписи. Попробуйте, может быть. Это лучше. ВЭ 16 февраля 2018, 23.44 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: У нас проблемы с версткой. 1) Проверьте резюме и ключевые слова на английском языке. Есть замечание о качестве перевода. 2) Мы не можем самостоятельно определить качество проектов из предоставленного документа Word. Присылайте проекты хорошего качества отдельными файлами (форматы png, tif, jpg). !!! Вам также необходимо удалить подпись с первого рисунка. представитель-секретарь журнала «Гаршина В.В.» Пятница, 16 февраля 2018 г. 11:24:40 +0300 Владимир Евстафьевич Магер <mv@qmd.spbstu.ru написал: Спасибо! ВЭ 15 февраля 2018, 22.11 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Исправим! Окончательный pdf-файл номера будет опубликован на http://www.vestnik.vsu.ru/content/analiz/archive_ru.asp Ответственный секретарь журнала «Вестник» ВГУ САИТ Гаршина В.В. Чт 15 февраля 2018 15:57:32 + 0300 Магер Владимир Евстафьевич <mv@qmd.spbstu.ru написал: Уважаемые коллеги! Все понравилось, есть 2 небольших замечания: 1) на стр. 93, в последнем абзаце перед формулой (2): Iint нужно выделить курсивом, а int строчными буквами; 2) очень желательно увеличить контрастность рисунков (в оригинале они выглядят резче). Спасибо за отличную работу! ВЭ 15 февраля 2018, 14.35 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! Пожалуйста, сразу проверьте оформление статьи на наличие ошибок. В случае неточностей присылайте список найденных ошибок. представитель секретаря журнала ""Вестник ВГУ"" САИТ Гаршина В.В.";пересмотр
 рисунки Вы получили рисунок 1? Что касается второго рисунка, то это шелкография, с ним, без сомнения, сложно что-то сделать. ВЕ;Запросы
"Re: дополнительная информация по товару Спасибо. Мы видим. Однако мы просим вас снять эту статью с рассмотрения и публикации в вашем журнале в связи с ее неактуальностью. С уважением, Артем Лобанцев / С уважением, Артем Лобанцев. Telegram: http://t.me/lobantsev 19 февраля 2018 в 21:42 Вестник ВГУ <csit@cs.vsu.ru написал: Уважаемые авторы! В связи с изложением статьи Онтологическая система архивирования текущих результатов медицинской диагностики возникли вопросы: в тексте есть ссылки на рисунок 5.6, но самих рисунков нет. Проверьте весь текст статьи. представитель секретаря журнала ""Вестник ВГУ"" САИТ Гаршина В.В.";отклоненный
Re[6]: макет статьи Привет, комментариев нет. Недостающие данные. Ненадович Д.М. Доктор технических наук. наук, старший научный сотрудник, «Корпорация специальных космических систем «Комета», г. Москва, УДК 621396 С уважением, Ненадович Д.М. +7 915 359 01 72;пересмотр
 просмотреть предлагаемый шаблон-SAIT.docx Когда мы опубликуем требования к элементу? Это все уже согласовано... Иначе нам придется постоянно пересматривать подобные статьи. Не нужно ждать появления нового номера. С уважением, А. Сирота.;другой
статья в Вестнике ВГУ: Анализ информационных систем и технологий БондаревЛопаткинСмирнов_Посадка.doc,picture1.jpg,picture2.jpg,picture3.jpg,picture4.jpg,picture5.jpg,picture6.jpg,ОПИС.doc Здравствуйте. Просим Вас принять к публикации в журнале «Вестник ВГУ» (Серия: Анализ информационных систем и технологий) статью, рекомендованную к публикации по итогам доклада XVIII Международной конференции «Информатика: проблемы, Методология, технологии» от председателя секции «Компьютерное моделирование в фундаментальных и прикладных исследованиях» М.Г. Семенова. Для связи наши контакты: Лопаткин Дмитрий Викторович (89102499025), Бондарев Валерий Георгиевич (89192415383). До свидания! С уважением, Лопаткин Дмитрий.;презентация статьи
"Re[2]: Статья Сандлера И.Л. Серия материалов для журнала ""Вестник ВГУ. Серия: Анализ информационных систем и технологий"" Здравствуйте, уважаемая редакция!!! Можете ли вы сказать мне, где находится моя статья? С уважением, Илья Сандлер sandleri@bk.ru Пятница, 9 февраля 2018, 17:33 +04:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемый автор! Материалы статьи получены и будут отправлены на рассмотрение. представитель-секретарь журнала Гаршина Вероника Викторовна Чт 8 февраля 2018 21:13:52 +0300 Илья Сандлер < sandleri@bk.ru написал: Сообщение перенаправлено От: Илья Сандлер < sandleri@bk.ru Кому: csit < csit@cs .vsu . ru Дата: Воскресенье, 4 февраля 2018, 12:31 +04:00 Тема: Статья Сандлера И.Л. Комплект материалов для журнала «Вестник ВГУ. Серия: Анализ информационных систем и технологий» Здравствуйте, уважаемая редакция!! ! Хотел бы подать статью в журнал «Вестник ВГУ. Серия: Системный анализ и информационные технологии» в раздел Математические методы анализа и управления системами. В приложении содержится архив, содержащий четыре файла: опись, статью и 6 рисунков. С уважением, Илья Сандлер sandleri@bk.ru С уважением, Илья Сандлер sandleri@bk.ru";Запросы
