id,subject
82,повторная отправка
83, шаблон рецензии новый 
90, статья вестник саит рецензия
98, статья для рецензирования
92, рецензия на статью
80, сверка статьи
123,статья шубина васева
99,статьи в № года
85,рисунки
86, доп инф по статье
89, верстка статьи
97,рецензия
100,статья в вестник вгу системный анализ и информационные технологии
95, статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии 
101, статья в вестник вгу
257,статьи
218, статья для саит анализ влияния постоянных управляющих воздействий 
96,нет темы
108, статья для публикации
112,статья на публикацию
118,статья гутова 
104, рп
155,рп
102, таратухин
114,задорожний
105,публикация статьи
121, статья гутова 
107,просьба
117, сведения о саит для вак
165, статья шубина васева
116,вопрос по статье
157, журнал вестник вгу серия системный анализ и инф технологии
126, сведения о саит для вак срочно
151,журнал вестник вгу
134, вопрос по статье
136,движение статьи
139,вопрос 
141, вопрос
143,вопрос по публикации в вашем журнале
439, вопрос по публикации в вашем журнале
149, информация о беккере
146,вопрос о рецензировании материалов
170,статья
152,задорожний грекш
154, требования к статьям саит
1216,
158,от шашкина о конференции фкн
213, вестник вгу саит рецензия
162, 
163,информация о статье
164,публикация в журнал в серии системный анализ и информационные технологии 
168,статья эксперстное заключение
177,статья для печати в журнале
167,вестник воронежского государственного университета серия системный анализ и информационные технологии
1084, статья эксперстное заключение
1088,статья яшина docx
1081,статья вак
1114,статья шмырин ярцев
1082,статья вгу серия системный анализ и ит
179,статья в журнал вгу серия системный анализ и ит
183, статья баева н б колонцова е п 
1085,вопрос
190,статья 
1106,научная статья в журнал «вестник вгу серия системный анализ и информационные технологии»
185, вестник вгу саит
1090, заседание редколлегии
1092,ваше сообщение не доставлено mail failu 
1093, сверка статьи тюрин с ф 
71, проверка статьи
1111,проверка статьи
206,выпуск журнала вестник
75, статья на публикацию повторно
212,статья на публикацию повторно
228, о статьях в вестник саит
216, рецензия
73, от матвеева
70, вестник саит 
72, e mail баевой н б 
282, статья для саит обратные задачи тмо на пп гла часть v смешанные задачи на фрагментах участка управления
262, статья для саит обратные задачи тмо на пп гла часть iv классификация задач на всём участке управления
223,приглашаем на ю международную конференцию нэикон «электронные научные и образовательные ресурсы создание продвижение и использование»
230, статья вак
1141,статья для публикации в журнале вестник вгу 
266,статья для вестника вгу системный анализ и информационные технологии
233,invitation to submit papers and join the editorial board viewer team
236, статья на публикацию 
1140,рец воронков
1146,статья хацкевича в л 
248, информация о тоизи
1144, время заседания редколлегии
1155,материалы для публикации письмо в редакцию 
245, статья 
1150, материалы для публикации письмо в редакцию 
1149,статья сергеевас
1153,по поводу статьи чернышева сергеева
1154,вопрос по порядку опубликования
1157, статья для журнала вестник вгу серия саиит
1168,статья матвеев алейникова
255,возможность публикации в журнале вестник вгу серия системный анализ и информационные технологии 
260,статья в номер 
1173,статья в вестник вгу серия системный анализ и информационные технологии
276,статья трофименко
1162,международная научно техническая конференция «актуальные проблемы прикладной математики информатики и механики» воронеж
264,публикация статьи 
1169,публикация в журнале вестник вгу серия системный анализ и информационные технологии
265, возможность публикации в журнале вестник вгу серия системный анализ и информационные технологии 
1175, публикация статьи
1176,статья от азарновой
270,undeliverable mail сверка статьи
1178, по оформлению саит вгу
314,статья от кононовых
1192,исправление ошибки
446,материалы в формате ms word
296,вебинар elpub августа
329, статья от азарновой
337,обюновлённая версия статьи
1202,консультация по включению в wos scopus и другие библиографические базы
339, статья от кононовых
1212, письмо редколлегии и рецензентам проект
325,статья в вестник
342,публикация в вестнике вгу серия системный анализ и информационные технологии
319, статья на рецензирование
1217, статья хацкевича в л 
326,рецензия в журнал
355,матвеев сирота статья
348, статья золотухин вунц
340,задорожний рец шмырин
349,одинцов статья 
346,конференция «актуальные проблемы прикладной математики информатики и механики» 
347,стихи тюкачеву
345,добавление автора в статью
354,от шашкина рецензии
351,статья для публикации опыт разработки и внедрения единой системы управления нси ао окб новатор 
374, статья
356,статья для публикации
358, статья для публикации в журнале вестник вгу 
380,статьи в четвертый номер 
361,вак статьи
365,отзыв просьбы о публикации статьи
370,рецензия docx
368, публикация статьи 
399,статья кротов doc экспертное воронеж pdf сведения об авторах doc
375,article tgubov amm vsu
405,сведения об авторах doc статья кротов doc экспертное воронеж pdf
378, задорожний
379, рецензия docx
382,сроки подачи статей
383, сроки подачи статей
389,статья м а калашниковой г а куриной
385, статьи в формате word
386, статья м а калашниковой г а куриной
394,новая статья в г задорожнего г а куриной
390, новая статья в г задорожнего г а куриной
392,о николае docx
407,статья к публикации томск
410,статья в вестник вгу серия системный анализ и информационные технологии повторная отправка после рецензирования 
397,proнэикон август октябрь 
534,статьи для вёрстки в формате msword
412,корректура статьи обратные задачи бильченко г г и н г 
420,седых истомин ответ рецензенту doc седых истомин статья docx
424, седых истомин ответ рецензенту doc седых истомин статья docx
426, статья в вестник вгу серия системный анализ и информационные технологии повторная отправка после рецензирования 
428,от леденевой
434,матвеев алейникова
498,новая статья м а калашниковой г а куриной
437,номера страниц
447, номера страниц
455,просим рассмотреть возможность публикации
456,статья поначугин выбор оптимальной системы электронной идентификации при транспотном обслуживании 
454, сверка статьи задорожний курина
477,статья в четвертый номер
470, статья поначугин выбор оптимальной системы электронной идентификации при транспотном обслуживании 
459,поздравляем вас с выходом журнала 
